S. No.,University Name,College Name,College Type,State Name,District Name
5410,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAMESHWAR TRIPATHI MAHAVIDYALAYA, BAHUPUR, RAMPUR, (Id: C-12509)",Affiliated College,Uttar Pradesh,Rae Bareli
5411,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAMKUMAR BHARTIYA GYAN DEVI MAHAVIDYALAYA, FAFOOND, (Id: C-12150)",Affiliated College,Uttar Pradesh,Auraiya
5412,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAM PRASAD MISHRA PT. BABULAL MAHAVIDYALAYA, JASRA, (Id: C-12304)",Affiliated College,Uttar Pradesh,Allahabad
5413,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAM SWAROOP PATEL MAHAVIDYALAYA, BILGRAM, (Id: C-12102)",Affiliated College,Uttar Pradesh,Hardoi
5414,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI RAVINATH SINGH DEGREE COLLEGE, JAITPUR, (Id: C-12497)",Affiliated College,Uttar Pradesh,Farrukhabad
5415,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI R.P. PORWAL MAHAVIDYALAYA, RAJPUR, (Id: C-12204)",Affiliated College,Uttar Pradesh,Kanpur Dehat
5416,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SAGAR SINGH SOMVATI MAHAVIDYALAYA, BAHORIKPUR, JAHANGANJ, (Id: C-12697)",Affiliated College,Uttar Pradesh,Farrukhabad
5417,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SAI AYURVEDIC COLLEGE & HOSPITAL , SARSAUL, (Id: C-12109)",Affiliated College,Uttar Pradesh,Aligarh
5418,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SAI BABA KANYA MAHAVIDYALAYA, DHARNAG, SAHAMHOLI, (Id: C-12220)",Affiliated College,Uttar Pradesh,Sitapur
5419,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SAI NATH MAHAVIDHYALAYA,DHIKUNI,SANDILA (Id: C-47434)",Affiliated College,Uttar Pradesh,Hardoi
5420,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SATGURU SAI MAHAVIDHYALAYA,RUDAMAU,MADHAUGANJ (Id: C-47433)",Affiliated College,Uttar Pradesh,Hardoi
5421,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SATYADEV DEG.COLL. CHAKIYA SATHER, MADWA HANDIA, (Id: C-12315)",Affiliated College,Uttar Pradesh,Allahabad
5422,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SHIVDAYAL PAL MAHAVIDYALAYA, SEMRA CHAURAHA, (Id: C-12431)",Affiliated College,Uttar Pradesh,Hardoi
5423,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SHIV MAHAVIDYALAYA, YAKUBPUR, (Id: C-12551)",Affiliated College,Uttar Pradesh,Auraiya
5424,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI SWAMI RAMPRAKASH ADARSH MAHAVIDYALAYA, RAVENDRA NAGAR, MURHAS, (Id: C-12218)",Affiliated College,Uttar Pradesh,Farrukhabad
5425,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI THAKUR JI MAHARAJ MAHAVIDYALAYA, BILHAUR, (Id: C-12159)",Affiliated College,Uttar Pradesh,Kanpur Nagar
5426,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI THAKUR JI MAHARAJ MAHAVIDYALAYA, HERWAL, (Id: C-12267)",Affiliated College,Uttar Pradesh,Hardoi
5427,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI THAKUR JI MAHARAJ MAHAVIDYALAYA, PURWA, (Id: C-12587)",Affiliated College,Uttar Pradesh,Unnao
5428,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI THAKUR JI MAHARAJ MAHAVIDYALAYA, SAFIPUR, (Id: C-12172)",Affiliated College,Uttar Pradesh,Unnao
